               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047624,            0.042796,            0.025887,             0.60714,             0.49345,             0.53322,             0.31389,            0.045815,            0.020573,            0.019038,            0.008812,            0.008812,            0.008812
                  38,            0.047519,            0.042513,            0.026161,             0.61217,              0.4933,             0.53495,             0.31567,            0.045715,            0.020535,            0.019063,            0.008779,            0.008779,            0.008779
                  39,            0.047547,            0.042471,            0.025633,             0.61856,             0.48776,             0.53936,             0.31821,             0.04561,            0.020485,            0.019009,            0.008746,            0.008746,            0.008746
                  40,            0.047367,            0.042312,            0.025808,             0.60763,             0.50366,             0.54329,             0.32074,            0.045498,            0.020452,            0.018746,            0.008713,            0.008713,            0.008713
                  41,            0.047269,            0.042606,            0.025655,             0.61411,             0.50675,             0.54552,             0.32333,            0.045375,            0.020381,            0.018658,             0.00868,             0.00868,             0.00868
                  42,            0.046957,            0.042404,            0.025025,             0.61729,             0.50864,             0.54673,             0.32496,            0.045276,            0.020328,            0.018571,            0.008647,            0.008647,            0.008647
                  43,            0.046996,            0.042215,            0.025009,             0.63284,              0.5045,             0.55116,             0.32786,            0.045186,            0.020287,            0.018383,            0.008614,            0.008614,            0.008614
                  44,            0.046976,            0.042218,            0.024793,             0.63337,             0.50802,             0.55477,             0.33113,             0.04511,            0.020235,            0.018247,            0.008581,            0.008581,            0.008581
                  45,            0.046864,             0.04239,            0.024876,             0.63118,             0.50439,              0.5554,             0.33279,            0.045038,            0.020223,            0.018153,            0.008548,            0.008548,            0.008548
                  46,            0.046635,            0.042084,            0.025097,               0.644,             0.50446,             0.55655,             0.33408,            0.044988,            0.020209,            0.018126,            0.008515,            0.008515,            0.008515
                  47,            0.046506,            0.041701,            0.024619,             0.64332,             0.50311,             0.55894,             0.33514,            0.044905,            0.020189,            0.018011,            0.008482,            0.008482,            0.008482
                  48,            0.046433,            0.041642,            0.024561,              0.6412,              0.5113,              0.5617,             0.33667,            0.044868,            0.020157,            0.017943,            0.008449,            0.008449,            0.008449
                  49,            0.046492,            0.041919,            0.024745,             0.63952,             0.51362,             0.56261,             0.33854,            0.044828,            0.020127,            0.017914,            0.008416,            0.008416,            0.008416
                  50,            0.046325,            0.041833,            0.024283,             0.63615,             0.51824,             0.56416,             0.33935,            0.044769,            0.020106,            0.017882,            0.008383,            0.008383,            0.008383
                  51,            0.046351,             0.04204,            0.024171,             0.64206,             0.51818,             0.56556,             0.34061,            0.044695,            0.020085,            0.017832,             0.00835,             0.00835,             0.00835
                  52,            0.046381,            0.041622,            0.024091,             0.64229,             0.51538,             0.56648,             0.34144,            0.044649,            0.020069,            0.017792,            0.008317,            0.008317,            0.008317
